linkInfo, tags, priceSingle,area,priceTotal
https://sh.lianjia.com/ershoufang/107000155809.html, 悦达花苑 3室2厅 900万, 81169元/平米, 110.88平米, 900
https://sh.lianjia.com/ershoufang/107001109613.html, 申亚新华府 4室2厅 1800万, 87592元/平米, 205.5平米, 1800
https://sh.lianjia.com/ershoufang/107002141311.html, 百花村 3室1厅 590万, 78846元/平米, 74.83平米, 590
https://sh.lianjia.com/ershoufang/107002000381.html, 四季晶园 4室2厅 1390万, 85031元/平米, 163.47平米, 1390
https://sh.lianjia.com/ershoufang/107002076885.html, 茅台雅苑 2室1厅 520万, 74350元/平米, 69.94平米, 520
https://sh.lianjia.com/ershoufang/107002216999.html, 南面后排公园观景房，小高层1T2H高得房率，满五年一套, 88005元/平米, 136.13平米, 1198
https://sh.lianjia.com/ershoufang/107001674237.html, 市区小三房，两房的价格买市区三房，边套全明户型, 69904元/平米, 65.09平米, 455
https://sh.lianjia.com/ershoufang/107002060973.html, 红梅小区(长宁) 2室1厅 360万, 62144元/平米, 57.93平米, 360
https://sh.lianjia.com/ershoufang/107001060259.html, 罗马花园 2室2厅 850万, 52189元/平米, 162.87平米, 850
https://sh.lianjia.com/ershoufang/107000149995.html, 天山河畔花园 3室2厅 1150万, 81221元/平米, 141.59平米, 1150
https://sh.lianjia.com/ershoufang/107000212669.html, 金鹿公寓 4室2厅 850万, 63198元/平米, 134.5平米, 850
https://sh.lianjia.com/ershoufang/107000431031.html, 铭晖西郊苑 3室2厅 880万, 68239元/平米, 128.96平米, 880
https://sh.lianjia.com/ershoufang/107000366291.html, 圣约翰名邸 3室2厅 1150万, 79262元/平米, 145.09平米, 1150
https://sh.lianjia.com/ershoufang/107002324645.html, 华松小区 2室1厅 360万, 56250元/平米, 64平米, 360
https://sh.lianjia.com/ershoufang/107001320233.html, 友谊小区 3室0厅 380万, 60568元/平米, 62.74平米, 380
https://sh.lianjia.com/ershoufang/107001747541.html, 番禺大厦 2室0厅 510万, 72177元/平米, 70.66平米, 510
https://sh.lianjia.com/ershoufang/107000254445.html, 天山华庭 3室2厅 970万, 86988元/平米, 111.51平米, 970
https://sh.lianjia.com/ershoufang/107002218695.html, 华山花苑 1室1厅 460万, 85471元/平米, 53.82平米, 460
https://sh.lianjia.com/ershoufang/107001916747.html, 清宁小区 2室0厅 380万, 67079元/平米, 56.65平米, 380
